,,,,,,,
Date,Open,High,Low,Close,Volume,,
3/23/2020,,,,,,,
3/24/2020,,,,,,,
3/25/2020,,,,,,,
3/26/2020,,,,,,,
3/27/2020,,,,,,,
3/30/2020,,,,,,,
3/31/2020,,,,,,,
4/1/2020,,,,,,,
4/2/2020,,,,,,,
4/3/2020,,,,,,,
4/6/2020,,,,,,, 
4/7/2020,1211.70,1264.26,1199.32,1210.23,3501203,,
4/8/2020,1209.981746,1262.893979,1200.099767,1252.928393,2765185,,
4/9/2020,1254.561921,1293.442818,1238.795337,1280.648184,3397000,,
4/13/2020,1295.459392,1299.200822,1245.295241,1269.438647,2271977,,
4/14/2020,1271.191809,1313.325319,1268.031095,1307.35975,2471724,,
4/15/2020,1308.419151,1309.441615,1260.857523,1274.961109,2589699,,
4/16/2020,1271.277264,1302.363178,1254.818599,1279.562738,2735295,,
4/17/2020,1319.1514,1327.486209,1293.743096,1315.403854,2835556,,
4/20/2020,1312.252394,1320.438552,1284.582968,1289.747114,2347284,,
4/21/2020,1289.906391,1302.406192,1246.069197,1258.084548,2976636,,
4/22/2020,1259.730593,1292.410103,1250.7994,1280.817771,2045734,,
4/23/2020,1281.817969,1307.676535,1272.633357,1280.764711,2504589,,
4/24/2020,1279.659789,1307.780094,1267.406959,1302.390929,1971217,,
4/27/2020,1302.589667,1336.185096,1295.520815,1327.522409,1904724,,
4/28/2020,1327.401829,1354.511682,1314.066805,1330.351237,2463738,,
4/29/2020,1331.751359,1383.748139,1327.231728,1372.89284,2583022,,
4/30/2020,1381.425736,1385.883586,1336.023107,1348.375329,2925354,,
5/1/2020,1334.614821,1337.129791,1298.024643,1307.719007,2423696,,
5/4/2020,1291.381823,1315.476635,1280.246438,1309.859437,2205811,,
5/5/2020,1310.843705,1344.923646,1309.9432,1324.317096,2186988,,
5/6/2020,1324.407636,1340.582491,1311.906565,1315.752314,2220533,,
5/7/2020,1314.794719,1344.890867,1310.020691,1339.278421,2200564,,
5/8/2020,1339.739144,1368.916514,1338.511105,1366.618149,2008831,,
5/11/2020,1363.543559,1379.167902,1345.808826,1362.384836,2288291,,
5/12/2020,1361.676432,1373.558497,1318.933356,1326.461889,2730789,,
5/13/2020,1320.31771,1340.182789,1287.835244,1303.494218,3893163,,
5/14/2020,1307.212681,1321.073064,1271.224677,1316.746107,3753905,,
5/15/2020,1316.801636,1329.870741,1297.100628,1320.431924,2908990,,
5/18/2020,1326.562426,1383.481204,1321.930049,1377.055293,2630516,,
5/19/2020,1375.426906,1391.893032,1358.585143,1361.233684,2382868,,
5/20/2020,1358.507511,1393.277727,1355.267777,1388.506834,2287658,,
5/21/2020,1390.245965,1394.850993,1371.852032,1377.571139,2422356,,
5/22/2020,1377.631071,1388.127617,1358.676276,1385.029515,2089694,,
5/26/2020,1383.72055,1424.428881,1381.567032,1408.229474,2752243,,
5/27/2020,1408.465734,1437.756008,1390.43309,1432.254735,3167522,,
